sub_num,Image,exclusion,ObjectCount,Object,category,OutOfFrame,Reaching,exact.image
240,002955.03_DUPLICATE1.gif,Unsure,2,NA,NA,N,N,240/002955.03_DUPLICATE1.gif
240,002955.03_DUPLICATE1.gif,Unsure,2,NA,Toy,N,N,240/002955.03_DUPLICATE1.gif
240,003000.03_DUPLICATE1.gif,Unsure,2,NA,NA,N,N,240/003000.03_DUPLICATE1.gif
240,003000.03_DUPLICATE1.gif,Unsure,2,NA,Toy,N,N,240/003000.03_DUPLICATE1.gif
240,003005.00_DUPLICATE1.gif,Unsure,2,NA,NA,N,N,240/003005.00_DUPLICATE1.gif
240,003005.00_DUPLICATE1.gif,Unsure,2,NA,Toy,N,N,240/003005.00_DUPLICATE1.gif
240,003010.01_DUPLICATE1.gif,Unsure,2,NA,NA,N,N,240/003010.01_DUPLICATE1.gif
240,003010.01_DUPLICATE1.gif,Unsure,2,NA,Toy,N,N,240/003010.01_DUPLICATE1.gif
240,004955.03.gif,Unsure,1,NA,NA,N,N,240/004955.03.gif
240,004955.03.gif,Unsure,1,NA,OtherSynthetic,N,N,240/004955.03.gif
240,005000.03.gif,Unsure,1,NA,NA,N,N,240/005000.03.gif
240,005000.03.gif,Unsure,1,NA,OtherSynthetic,N,N,240/005000.03.gif
240,005005.00.gif,Unsure,1,NA,NA,N,N,240/005005.00.gif
240,005005.00.gif,Unsure,1,NA,OtherSynthetic,N,N,240/005005.00.gif
240,005010.01.gif,Unsure,1,NA,NA,N,N,240/005010.01.gif
240,005010.01.gif,Unsure,1,NA,OtherSynthetic,N,N,240/005010.01.gif
240,005145.00.gif,Unsure,1,NA,NA,N,N,240/005145.00.gif
240,005145.00.gif,Unsure,1,NA,OtherSynthetic,N,N,240/005145.00.gif
240,005150.01.gif,Unsure,1,NA,NA,N,N,240/005150.01.gif
240,005150.01.gif,Unsure,1,NA,OtherSynthetic,N,N,240/005150.01.gif
240,005155.01.gif,Unsure,1,NA,NA,N,N,240/005155.01.gif
240,005155.01.gif,Unsure,1,NA,OtherSynthetic,N,N,240/005155.01.gif
240,005200.02.gif,Unsure,1,NA,NA,N,N,240/005200.02.gif
