object,category
flower,Natural
baby bottle,Mealtime Tool
milk,Food
pants,Clothing
soap,Work Tool
comb,Synthetic
banana,Food
starfruit,Food
wind up toy,Toy
stuffed animal,Toy
rock,Natural
fruit,Food
rope,Synthetic
stick,Natural
broom,Work Tool
guitar,Toy
camera,Synthetic
ball,Toy
vest,Clothing
coconut,Food
nut,Food
tuber,Food
jacket,Clothing
swing,Toy
candy,Food
book,Toy
pencil,Toy
plastic bottle,Synthetic
container,Synthetic
fruit (unknown variety),Food
grass,Natural
leaf,Natural
sago,Food
dress,Clothing
shorts,Clothing
pot,Mealtime Tool
mug,Mealtime Tool
shoe,Clothing
shirt,Clothing
stairs,Immovable
firewood,Synthetic
woven basket,Synthetic
plastic packaging,Synthetic
chapstick,Synthetic
bowl,Mealtime Tool
water,Work Tool
blanket,Synthetic
sugar cane,Food
bread,Food
rice,Food
container lid,Synthetic
spoon,Mealtime Tool
seafood,Food
shell,Natural
clothespin,Synthetic
wooden pole,Synthetic
tapioca,Food
bucket,Synthetic
betelnut,Food
skirt,Clothing
rattle,Toy
toy car,Toy
plastic bag,Synthetic
plastic toy,Toy
rubber duck,Toy
pacifier,Toy
chair,Immovable
water bottle strap,Mealtime Tool
noodles,Food
plant,Natural
baby bathtub,Work Tool
wall,Immovable
fabric,Synthetic
floor,Immovable
table,Immovable
broom bristle,Work Tool
phone,Synthetic
cotton debris,Synthetic
dirt,Natural
veranda,Immovable
house pile,Immovable
knife-W,Work Tool
knife-M,Mealtime Tool
dog,Natural
cat,Natural
papaya,Food
large plastic bin,Work Tool
spatula,Mealtime Tool
shelf,Immovable
mosquito net,Synthetic
purse,Clothing
empty drink bottle,Synthetic
bracelet,Clothing
hammock,Immovable
walking support,Immovable
bed sheet,Synthetic
door,Immovable
burlap,Synthetic
paintbrush,Toy
mat,Synthetic
string,Synthetic
cup,Mealtime Tool
bean,Food
money,Synthetic
chick,Natural
safety pin,Synthetic
fishing debris,Synthetic
fishnet,Synthetic
drinking water,Food
mirror,Synthetic
blinds,Immovable
hat,Clothing
mango,Food
sweater,Clothing
tree,Natural
teletubby toy,Toy
canoe,Immovable
wood slat,Synthetic
tongs,Mealtime Tool
roofing,Immovable
toy turtle,Toy
plate,Mealtime Tool
lunchbox,Mealtime Tool
princess bag,Toy
bark,Natural
leafy green,Food
flashlight,Synthetic
water bottle carrier,Mealtime Tool
lotion,Work Tool
trash,Synthetic
jug,Mealtime Tool
hay,Natural
weight,Synthetic
hatchet,Work Tool
paper,Synthetic
scrub brush,Work Tool
belt,Clothing
pen,Toy
detergent,Work Tool
clothing,Clothing
tin container,Synthetic
berry,Natural
pill package,Synthetic
mumu'd tuber paste,Food
marble,Toy
coconut scraper,Mealtime Tool
battery,Synthetic
wire,Synthetic
lightbulb,Synthetic
wash basin,Work Tool
buoy,Synthetic
fork,Mealtime Tool
guava,Food
pineapple,Food
cardboard box,Synthetic
plastic sheet,Synthetic
window,Immovable
drawer,Immovable
bottle cap,Synthetic
camera cover,Clothing
packaged snack,Food
newspaper,Synthetic
crate,Synthetic
paper airplane,Toy
wood shavings,Natural
gas canister,Synthetic
rubber band,Synthetic
plant pot,Synthetic
seed,Natural
bench,Immovable
barrel,Immovable
trash bin,Work Tool
plastic clip,Synthetic
reusable water bottle,Mealtime Tool
cracker,Food
necklace,Clothing
plastic,Synthetic
dried mud chunk,Natural
rice ball,Food
plastic fragment,Synthetic
brush,Synthetic
medicine tube,Synthetic
canteen,Mealtime Tool
leaf wrapper,Mealtime Tool
jar,Synthetic
passionfruit,Food
tag,Synthetic
avocado,Food
ribbon,Synthetic
metal fragment,Synthetic
meat,Food
toothbrush,Synthetic
lantern,Synthetic
scissors,Synthetic
lime dipping stick,Mealtime Tool
lime,Food
nail,Work Tool
marker,Toy
tin foil,Synthetic
rake,Work Tool
juice,Food
turtle,Food
shell money,Synthetic
feather,Natural
sand,Natural
lighter,Mealtime Tool
rug,Immovable
suitcase,Synthetic
cardboard packaging,Synthetic
tassel,Synthetic
screwdriver,Work Tool
cacao,Food
calculator,Synthetic
baby powder,Work Tool
skewer,Mealtime Tool
cookie,Food
tortilla,Food
nail clippers,Work Tool
doll,Toy
soda,Food
magazine,Synthetic
box,Synthetic
pillar,Immovable
plastic basket,Synthetic
bed,Immovable
egg,Food
fence,Immovable
bready sheet,Food
rebar,Synthetic
lollipop stick,Food
chicken,Natural
clothesline,Work Tool
maraca,Toy
packaged food,Food
hearth,Immovable
ashes,Natural
cut up plastic bottle,Synthetic
toy plant,Toy
embroidery ring,Work Tool
bulk food bag,Synthetic
shield,Synthetic
vase,Synthetic
movie,Synthetic
ruler,Synthetic
shovel,Work Tool
mats,Food
cement fragment,Synthetic
peach,Food
peanut,Food
corn,Food
photo,Synthetic
folder,Synthetic
hose,Work Tool
log,Natural
rambutan,Food
cleaning solution,Work Tool
grinder,Work Tool
weaving tool,Work Tool
baby sling,Clothing
chips,Food
toy lamb,Toy
pear,Food
vehicle,Immovable
teddy bear,Toy
bean soup,Food
stuffed animal monkey,Toy
shoelace,Clothing
patio edge,Immovable
green bean,Food
masa,Food
crayon,Toy
ladder,Immovable
coloring book,Toy
spiky toy,Toy
stuffed animal dog,Toy
bubble wand,Toy
action figure,Toy
stuffed holiday animal,Toy
gardening hoe,Work Tool
apple,Food
mop,Work Tool
keychain,Synthetic
bike,Toy
rubber fragment,Synthetic
popsicle,Food
curtains,Immovable
bubbles,Toy
chicharrones,Food
canned food,Food
slingshot,Toy
hanger,Synthetic
flower toy,Toy
towel,Synthetic
television,Synthetic
measuring tape,Work Tool
stuffed animal unicorn,Toy
jelly cup,Food
meat bone,Food
metal pipe,Synthetic
hammer,Work Tool
remote,Synthetic
yarn,Synthetic
video game console,Synthetic
canola oil,Food
popsicle stick,Food
tarp,Synthetic
toy sink,Toy
corn plant,Natural
animal slap bracelet,Toy
vick's vapor rub,Synthetic
toy bear,Toy
toy,Toy
tape,Synthetic
paint,Toy
napkin,Mealtime Tool
green toy,Toy
pink toy,Toy
tsek,Clothing
energy drink,Food
sandcastle mold,Toy
toy plate,Toy
toy tray,Toy
mobile,Toy
beaker,Synthetic
coin bag,Synthetic
strainer,Mealtime Tool
sponge,Work Tool
CD,Synthetic
toy dinosaur,Toy
child play mat,Toy
feather duster,Work Tool
wagon,Toy
beads,Synthetic
styrofoam,Synthetic
toy bird,Toy
glasses,Clothing
gravel,Synthetic
toy teacup,Toy
metal clip,Synthetic
brick,Synthetic
citrus fruit,Food
chayote,Food
tire,Synthetic
stuffed animal bunny,Toy
salt,Food
notebook,Synthetic
hair clip,Clothing
pole,Synthetic
government food packet,Food
medicine bottle,Synthetic
wood disc,Toy
juice powder,Food
bottled water,Food
sock,Clothing
pipe instrument,Toy
walkie talkie,Synthetic
roll of paper towels,Work Tool
metal chain,Synthetic
granola bar,Food
grape,Food
toothpaste,Work Tool
knitting needle,Work Tool
wheelbarrow,Work Tool
stereo,Synthetic
screw,Work Tool
plastic tubing,Synthetic
underwear,Clothing
level,Work Tool
wood fragment,Synthetic
stems,Natural
sink,Work Tool
shoe box,Synthetic
orange,Food
coral,Natural
pillow,Synthetic
crowbar,Work Tool
toy robot,Work Tool
drinking straw,Mealtime Tool
coconut water,Food
matches,Synthetic
