sub_num,Image,Object,exclusion,exact.image
1509,070305.gif,NA,Unsure,1509/070305.gif
1509,072416.gif,NA,Unsure,1509/072416.gif
1509,072518.gif,NA,Unsure,1509/072518.gif
1509,073215.gif,NA,Unsure,1509/073215.gif
1509,073231.gif,NA,Unsure,1509/073231.gif
1509,073826.gif,NA,Unsure,1509/073826.gif
1509,121121.gif,NA,Unsure,1509/121121.gif
1509,123053.gif,NA,Unsure,1509/123053.gif
1509,123452.gif,NA,Unsure,1509/123452.gif
1509,134844.gif,NA,Unsure,1509/134844.gif
1509,142453.gif,NA,Unsure,1509/142453.gif
1509,142508.gif,NA,Unsure,1509/142508.gif
1509,145847.gif,NA,Unsure,1509/145847.gif
1509,152116.gif,NA,Unsure,1509/152116.gif
5499,145620.gif,NA,Unsure,5499/145620.gif
5499,145650.gif,NA,Unsure,5499/145650.gif
5499,151303.gif,NA,Unsure,5499/151303.gif
5499,180513.gif,NA,Unsure,5499/180513.gif
5499,184955.gif,NA,Unsure,5499/184955.gif
5499,185055.gif,NA,Unsure,5499/185055.gif
5499,185127.gif,NA,Unsure,5499/185127.gif
5499,190407.gif,NA,Unsure,5499/190407.gif
