Image,Object,Comments,Coder,None,Exclude,Original Comments,sub_num
20160811_122639_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122649_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122701_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122732_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122742_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122752_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122805_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122815_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122836_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122919_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_122929_000.gif,NA,baby bottle in mouth,KC,1,0,NA,7101
20160811_123010_000.gif,baby bottle,NA,KC,0,0,NA,7101
20160811_123031_000.gif,baby bottle,NA,KC,0,0,NA,7101
20160811_123042_000.gif,baby bottle,NA,KC,0,0,NA,7101
20160811_123054_000.gif,baby bottle,NA,KC,0,0,NA,7101
20160811_132139_000.gif,NA,starfruit in mouth,KC,1,0,NA,7101
20160811_112353_000.gif,NA,NA,KC,1,0,i don't think i see anything from context images,2802
20160811_112403_000.gif,NA,NA,KC,1,0,i don't think i see anything in the image or context images,2802
20160811_112415_000.gif,NA,NA,KC,1,0,i don't think i see anything in the image or context images,2802
20160811_112447_000.gif,NA,NA,KC,1,0,i don't think i see anything in the image or context images,2802
20160811_112457_000.gif,NA,NA,KC,1,0,i don't think i see anything in the image or context images,2802
095546.gif,NA,NA,KC,1,0,NA,5149
100150.gif,NA,NA,KC,1,0,NA,5149
100200.gif,NA,NA,KC,1,0,NA,5149
121610.gif,NA,NA,KC,1,0,NA,5149
122253.gif,NA,NA,KC,1,0,probably banana but only adult hand is visible,5149
122357.gif,NA,NA,KC,1,0,NA,5149
135650.gif,NA,NA,KC,1,0,NA,9091
074459.gif,camera lens,NA,KC,0,0,NA,5942
080503.gif,NA,NA,KC,1,0,"touching another person, not object",5942
090716.gif,NA,NA,KC,1,0,NA,5942
083806.gif,NA,NA,KC,1,0,subject is breastfeeding,5348
102911.gif,NA,NA,KC,1,0,subject is touching their own leg,5348
145359.gif,skirt,NA,KC,0,0,skirt is worn by caregiver,5348
145431.gif,shirt,NA,KC,0,0,subject is breastfeeding,5348
145841.gif,NA,NA,KC,1,0,subject is breastfeeding,5348
145856.gif,NA,NA,KC,1,0,subject is breastfeeding,5348
075643.gif,NA,NA,KC,1,0,Foot cannot be a held object.,9706
075701.gif,NA,NA,KC,1,0,NA,9706
092946.gif,NA,NA,KC,1,0,NA,9706
102759.gif,NA,NA,KC,1,0,Body parts cannot be coded as held objects,9706
132158.gif,NA,NA,KC,1,0,NA,9706
133921.gif,NA,NA,KC,1,0,NA,9706
141153.gif,NA,NA,KC,1,0,NA,9706
141834.gif,NA,NA,KC,1,0,NA,9706
143650.gif,NA,NA,KC,1,0,NA,9706
143910.gif,NA,NA,KC,1,0,NA,9706
145156.gif,NA,NA,KC,1,0,Body parts are not coded as held objects,9706
140751.gif,NA,NA,KC,1,0,grabbing leg of other person,4859
20160822_060954_000.gif,NA,NA,KC,1,0,"interacting with another person, no object other than body part",7333
20160822_063916_000.gif,NA,NA,KC,1,0,"not yet interacting with the ball, possibly just playing in the dirt but context images where child is touching the ground weren't included so leaving as no held object for now",7333
064116.gif,NA,NA,KC,1,0,NA,7849
081952.gif,NA,NA,KC,1,0,NA,7849
082008.gif,NA,NA,KC,1,0,NA,7849
082039.gif,NA,NA,KC,1,0,NA,7849
082111.gif,NA,NA,KC,1,0,NA,7849
082126.gif,NA,NA,KC,1,0,NA,7849
082142.gif,NA,NA,KC,1,0,NA,7849
082157.gif,NA,NA,KC,1,0,NA,7849
082212.gif,NA,NA,KC,1,0,NA,7849
082228.gif,NA,NA,KC,1,0,NA,7849
082316.gif,NA,NA,KC,1,0,NA,7849
085822.gif,NA,NA,KC,1,0,NA,7849
124820.gif,NA,NA,KC,1,0,NA,7849
124921.gif,NA,NA,KC,0,0,NA,7849
125420.gif,NA,NA,KC,1,0,NA,7849
070919.gif,NA,NA,KC,1,0,NA,5217
101326.gif,NA,NA,KC,1,0,NA,5217
101341.gif,NA,NA,KC,1,0,NA,5217
133512.gif,shirt,NA,KC,0,0,child is holding onto caregiver while being carried,5217
133527.gif,shirt,NA,KC,0,0,child is holding onto caregiver while being carried,5217
20160831_070310_000.gif,NA,NA,KC,1,0,NA,5064
