sub_num,site,age,sex,n
7101,Rossel,5,M,132
4964,Rossel,45,M,248
3946,Rossel,25,F,451
2802,Rossel,47,F,130
5149,Rossel,14,M,137
5028,Rossel,33,F,502
7159,Rossel,45,F,420
7504,Rossel,21,M,1
9091,Rossel,27,F,86
5629,Rossel,20,M,119
5942,Rossel,47,F,212
1902,Rossel,8,M,453
6792,Rossel,24,M,264
3041,Rossel,23,M,311
5348,Rossel,20,F,504
7528,Rossel,11,F,465
2195,Rossel,35,M,412
9706,Rossel,41,F,312
8779,Rossel,39,F,344
2789,Rossel,13,F,356
4859,Rossel,16,M,199
7333,Rossel,12,M,136
1144,Rossel,36,F,156
4830,Rossel,11,M,207
5797,Rossel,10,F,167
7849,Rossel,12,F,297
3856,Rossel,21,F,360
7718,Rossel,37,F,458
5217,Rossel,30,M,500
1806,Rossel,0,F,2
8648,Rossel,4,M,14
2819,Rossel,3,M,40
9837,Rossel,28,F,534
3124,Rossel,30,M,339
4570,Rossel,4,F,8
7423,Rossel,9,F,94
8104,Rossel,2,F,5
1039,Rossel,21,M,180
2677,Rossel,27,M,135
6191,Rossel,13,M,92
5064,Rossel,28,M,88
1509,Rossel,9,M,182
2399,Tseltal,39,M,556
7512,Tseltal,7,F,27
7959,Tseltal,34,M,329
4856,Tseltal,34,M,296
5994,Tseltal,8,F,74
4590,Tseltal,27,M,357
5499,Tseltal,27,M,326
6852,Tseltal,22,M,373
1566,Tseltal,45,M,500
6526,Tseltal,45,M,191
1598,Tseltal,45,F,268
9021,Tseltal,10,F,24
1965,Tseltal,2,F,3
8535,Tseltal,25,F,270
1076,Tseltal,14,M,194
5677,Tseltal,8,M,60
5449,Tseltal,6,M,20
8232,Tseltal,46,F,73
1494,Tseltal,9,M,16
7302,Tseltal,16,F,172
5978,Tseltal,48,F,364
3264,Tseltal,9,M,73
8587,Tseltal,11,M,131
3158,Tseltal,14,M,235
1129,Tseltal,41,F,284
4197,Tseltal,18,F,129
5106,Tseltal,32,F,65
9615,Tseltal,32,F,141
7910,Tseltal,10,M,61
4313,Tseltal,31,F,440
1312,Tseltal,26,F,212
5437,Tseltal,32,F,235
9906,Tseltal,4,M,1
5377,Tseltal,11,F,81
7674,Tseltal,26,F,548
7356,Tseltal,6,F,6
8532,Tseltal,20,F,257
7328,Tseltal,38,M,415
