object,category,check,comments
flower,Natural,,
cup,Tool,,
milk,Food,,
bottle,Tool,,
pants,Synthetic,,
bar soap,Tool,1,should tools for cleaning include personal hygeine products?
comb,Synthetic,1,
banana,Food,,
starfruit,Food,,
wind up toy,Tool,,
stuffed animal,Toy,,
rock,Natural,,
fruit (unknown variety),Food,,
rope,Synthetic,,
stick,Natural,,
broom,Tool,,
guitar,Synthetic,1,toy?
camera,Synthetic,,
ball,Toy,,
vest,Synthetic,,
coconut,Food,,
nut,Food,,
tuber,Food,,
jacket,Synthetic,,
swing,Toy,1,designed for kids?
candy,Food,,
book,Toy,1,not all books are children's books
pencil,Toy,1,writing utensils as toys?
misc container,Synthetic,,
fruit,Food,,
grass,Natural,,
leaf,Natural,,
sago,Food,,
dress,Synthetic,,
shorts,Synthetic,,
pot,Tool,,
mug,Tool,,
shoe,Synthetic,,
toy,Toy,,
stairs,Immovable,,
wood slat,Synthetic,,
woven object,Synthetic,,
misc plastic,Synthetic,,
woven basket,Synthetic,,
chapstick,Synthetic,,
shirt,Synthetic,,
bowl,Tool,,
water,Tool,1,"check drinking water vs. water for cleaning (e.g., in wash basin or bucket)"
fabric,Synthetic,,
cloth,Synthetic,,
sugarcane,Food,,
baked good,Food,,
white thing,NA,1,
rice,Food,,
misc container lid,Synthetic,,
spoon,Tool,,
seed,Natural,1,
seafood,Food,,
shell,Natural,,
clothespin,Synthetic,1,tool?
pole,Synthetic,1,tool?
tapioca,Food,,
bucket,Synthetic,,
betelnut,Food,,
skirt,Synthetic,,
rattle,Toy,,
toy car,Toy,,
plastic bag,Synthetic,,
rubber duck,Toy,,
pacifier,Toy,1,
log,Natural,,
chair,Immovable,1,all furniture in large/immovable category?
water bottle carrier,Tool,1,mealtime tool or synthetic?
noodles,Food,,
plant,Natural,,
baby bathtub,Tool,1,
wall,Immovable,,
table,Immovable,,
veranda,Immovable,,
skewer,Tool,,
phone,Synthetic,,
dirt,Natural,,
house pile,Immovable,,
knife,Tool,,
papaya,Food,,
bin,Synthetic,,
spatula,Tool,,
purse,Synthetic,,
ipod touch,Synthetic,,
water bottle,Tool,,
bag,Synthetic,,
misc packaging,Synthetic,,
blanket,Synthetic,,
camera cover,Synthetic,,
food,Food,,
band,Synthetic,,
floor,Immovable,,
hammock,Immovable,1,
walking support,Immovable,,
curtains,Synthetic,1,
bracelet,Synthetic,,
door,Immovable,,
bottle cap,Synthetic,,
shelf,Immovable,,
paintbrush,Toy,1,
mat,Synthetic,,
string,Synthetic,,
bean,Food,,
EXCLUDE - MC present,NA,,
metal disc,Synthetic,,
safety pin,Tool,1,
medicine,Synthetic,,
roofing,Immovable,,
mirror,Synthetic,,
packaged snack,Food,,
white object/fabric,Synthetic,1,
frame,Synthetic,1,check if referring to door frame or photo frame
long white object,Synthetic,1,unsure
hat,Synthetic,,
mango,Food,,
sweater,Synthetic,,
plastic object,Synthetic,,
toy teletubby,Toy,,
tree,Natural,,
large metal object,Synthetic,1,check if immovable
red object,NA,1,unsure
canoe,Immovable,1,
tongs,Tool,,
toy turtle,Toy,,
plate,Tool,,
lunchbox,Tool,,
bark,Natural,,
leafy green,Food,,
flashlight,Synthetic,,
bottle carrier,Tool,1,
commercial fishing misc,Synthetic,,
lotion,Synthetic,,
jug,Synthetic,,
harvesting tool,Tool,,
hay,Natural,,
burlap,Synthetic,,
hatchet,Tool,,
pot lid,Tool,,
paper,Synthetic,,
scrub brush,Tool,,
belt,Synthetic,,
pen,Toy,1,
berry,Food,,
pill package,Synthetic,,
ladder,Immovable,1,check if these should be merged with stairs (Rossel)
marble,Toy,,
netting,Synthetic,,
battery,Synthetic,,
wire,Synthetic,,
buoy,Synthetic,,
debris,Natural,1,check if natural or synthetic
fork,Tool,,
guava,Food,,
pineapple,Food,,
stake,Synthetic,,
cardboard,Synthetic,,
Body parts cannot be coded as held objects,NA,,
plastic sheet,Synthetic,,
window,Immovable,,
