Image,object.corrected,exclusion.corrected,category.corrected,comments,sub_num
125938.gif,rock,NA,NA,NA,3856
180030.gif,bucket,NA,NA,NA,7959
220702.gif,hanger,NA,NA,NA,1566
043242.gif,juice,NA,NA,NA,5377
120542.gif,stairs,NA,NA,NA,3856
145225.gif,chair,NA,NA,NA,6852
035516.gif,juice,NA,NA,NA,5377
185814.gif,"cement fragment, stick",NA,NA,NA,7328
215211.gif,sweater,NA,NA,NA,2399
184314.gif,flower toy,NA,NA,NA,7302
064534.gif,NA,Exclude,Synthetic,NA,6792
145156.gif,NA,None,NA,NA,9706
pen 08-18-16_Sanity_Tonye/102759.gif,NA,None,NA,NA,9706
213309.gif,NA,None,NA,NA,2399
20160831_103315_000.gif,firewood,NA,NA,NA,5064
165530.gif,cement fragment,NA,NA,NA,7959
190647.gif,plastic basket,NA,NA,NA,2399
143114.gif,"hearth, ashes",NA,NA,NA,7959
081642.gif,shirt,NA,NA,NA,4859
190251.gif,bulk food bag,NA,NA,NA,8532
085515.gif,trash,NA,NA,betelnut/food-related,5348
085530.gif,trash,NA,NA,betelnut/food-related,5348
20160811_101307_000.gif,woven basket,NA,NA,NA,3946
20160811_101257_000.gif,woven basket,NA,NA,NA,3946
20160811_101246_000.gif,woven basket,NA,NA,NA,3946
080052.gif,juice,NA,NA,NA,5217
075948.gif,juice,NA,NA,NA,5217
212110.gif,soda,NA,NA,NA,2399
181316.gif,soda,NA,NA,NA,2399
082515.gif,bowl,NA,NA,likely containing food/drink but not visible,7718
082458.gif,bowl,NA,NA,likely containing food/drink but not visible,7718
112210.gif,pot,NA,NA,NA,5217
190142.gif,soda,NA,NA,NA,4856
182848.gif,soda,NA,NA,NA,4856
155659.gif,NA,Unsure,Synthetic,NA,7512
20160831_085107_000.gif,ball,NA,NA,plastic rice bag + rocks/heavy material made into ball,1039
224551.gif,spoon,NA,NA,NA,7302
224956.gif,NA,Unsure,NA,NA,7328
20160811_103039_000.gif,blanket,NA,NA,NA,3946
190835.gif,blanket,NA,NA,NA,7959
165242.gif,container lid,NA,NA,to vick's vapor rub,5677
201238.gif,NA,Exclude,Synthetic,NA,1566
20160831_145908_000.gif,bucket,NA,NA,unsure what's inside,6191
161238.gif,"baby bottle, milk",NA,NA,NA,6852
214543.gif,door,NA,NA,NA,2399
214806.gif,door,NA,NA,NA,2399
223331.gif,door,NA,NA,NA,2399
193542.gif,NA,None,NA,NA,6852
201301.gif,NA,None,NA,NA,6852
171211.gif,toy lamb,NA,NA,NA,6852
183823.gif,toy car,NA,NA,NA,4197
184719.gif,toy plate,NA,NA,NA,7302
134603.gif,blanket,NA,NA,NA,9706
134442.gif,blanket,NA,NA,NA,9706
20160822_094716_000.gif,"buoy, knife-W",NA,NA,NA,5797
20160822_094559_000.gif,buoy,NA,NA,NA,5797
170908.gif,chair,NA,NA,NA,6852
082359.gif,floor,NA,NA,NA,3856
114716.gif,house pile,NA,NA,NA,3856
20160811_100245_000.gif,shirt,NA,NA,NA,3946
20160811_100235_000.gif,shirt,NA,NA,NA,3946
135601.gif,rice,NA,NA,NA,9091
135616.gif,rice,NA,NA,NA,9091
161044.gif,plant,NA,NA,NA,4856
20160822_064810_000.gif,firewood,NA,NA,NA,7333
20160822_064825_000.gif,firewood,NA,NA,NA,7333
081629.gif,NA,Unsure,Food,NA,7718
081613.gif,NA,Unsure,Food,NA,7718
081644.gif,NA,Unsure,Food,NA,7718
074440.gif,NA,Unsure,Synthetic,check with MC,6792
074338.gif,NA,Unsure,Synthetic,check with MC,6792
074307.gif,NA,Unsure,Synthetic,check with MC,6792
214036.gif,rebar,NA,NA,NA,2399
213937.gif,rebar,NA,NA,NA,2399
213907.gif,rebar,NA,NA,NA,2399
184556.gif,stick,NA,NA,NA,7328
153339.gif,wash basin,NA,NA,NA,8532
153313.gif,NA,Unsure,NA,check,8532
152214.gif,vase,NA,NA,NA,7959
191107.gif,sandcastle mold,NA,NA,NA,7302
193400.gif,NA,Exclude,Synthetic,NA,5677
193736.gif,NA,Exclude,Synthetic,NA,5677
193501.gif,NA,Exclude,Synthetic,NA,5677
193532.gif,NA,Exclude,Synthetic,NA,5677
193431.gif,NA,Exclude,Synthetic,NA,5677
193328.gif,NA,Exclude,Synthetic,NA,5677
20160811_075820_000.gif,NA,Unsure,NA,NA,2802
20160811_075810_000.gif,NA,Unsure,NA,NA,2802
150904.gif,wall,NA,NA,NA,7959
130845.gif,veranda,NA,NA,NA,6792
102428.gif,veranda,NA,NA,NA,6792
081158.gif,veranda,NA,NA,immovable MC check,6792
081141.gif,veranda,NA,NA,immovable MC check,6792
080513.gif,veranda,NA,NA,immovable MC check,6792
080441.gif,floor,NA,NA,immovable MC check,6792
080354.gif,stairs,NA,NA,NA,6792
074118.gif,floor,NA,NA,immovable MC check,6792
074103.gif,floor,NA,NA,immovable MC check,6792
073751.gif,wall,NA,NA,immovable MC check,6792
110716.gif,NA,Exclude,NA,NA,5348
20160831_084645_000.gif,shirt,NA,NA,NA,2677
20160811_110917_000.gif,stick,NA,NA,NA,2802
20160811_111103_000.gif,stick,NA,NA,NA,2802
20160811_120644_000.gif,stick,NA,NA,NA,2802
100254.gif,floor,NA,NA,NA,9706
103423.gif,floor,NA,NA,NA,9706
134356.gif,wall,NA,NA,immovable MC check,9706
134927.gif,floor,NA,NA,NA,9706
145937.gif,floor,NA,NA,immovable MC check,9706
20160831_111807_000.gif,NA,Exclude,Synthetic,NA,1039
210342.gif,plant,NA,NA,NA,1129
215057.gif,NA,Exclude,Synthetic,NA,4856
215026.gif,NA,Exclude,Synthetic,NA,4856
220326.gif,NA,Unsure,Food,NA,7302
220355.gif,NA,Unsure,Food,NA,7302
220256.gif,NA,Unsure,Food,NA,7302
20160811_091907_000.gif,nut,NA,NA,NA,2802
101143.gif,wall,NA,NA,NA,7718
105459.gif,wall,NA,NA,NA,7718
20160831_125021_000.gif,plant,NA,NA,NA,1039
20160831_101611_000.gif,leaf,NA,NA,NA,1039
20160831_124926_000.gif,plant,NA,NA,NA,6191
20160831_124839_000.gif,plant,NA,NA,NA,6191
20160831_124824_000.gif,plant,NA,NA,NA,6191
191445.gif,bottled water,NA,NA,NA,1312
154307.gif,empty drink bottle,NA,NA,NA,1076
154205.gif,empty drink bottle,NA,NA,NA,1076
154135.gif,empty drink bottle,NA,NA,NA,1076
20160822_095047_000.gif,empty drink bottle,NA,NA,NA,4830
150022.gif,NA,Unsure,Synthetic,MC check?,7959
145021.gif,NA,Unsure,Synthetic,MC check?,7959
153522.gif,vase,NA,NA,NA,7959
213955.gif,cleaning solution,NA,NA,NA,4856
20160822_054918_000.gif,NA,Exclude,Synthetic,NA,4830
20160822_054903_000.gif,NA,Exclude,Synthetic,NA,4830
20160831_072734_000.gif,stick,NA,NA,NA,1039
20160831_072749_000.gif,stick,NA,NA,NA,1039
20160831_072954_000.gif,stick,NA,NA,NA,1039
221605.gif,stick,NA,NA,NA,7959
164940.gif,stick,NA,NA,NA,9615
165040.gif,stick,NA,NA,NA,9615
165112.gif,stick,NA,NA,NA,9615
24071242.gif,empty drink bottle,NA,NA,NA,7910
24071110.gif,empty drink bottle,NA,NA,NA,7910
24071041.gif,empty drink bottle,NA,NA,NA,7910
24070939.gif,empty drink bottle,NA,NA,NA,7910
24070909.gif,empty drink bottle,NA,NA,NA,7910
24070738.gif,empty drink bottle,NA,NA,NA,7910
24070604.gif,empty drink bottle,NA,NA,NA,7910
153602.gif,energy drink,NA,NA,can't tell if it's full or not,7302
153634.gif,energy drink,NA,NA,NA,7302
190239.gif,empty drink bottle,NA,NA,NA,9021
190006.gif,empty drink bottle,NA,NA,NA,9021
20160822_070646_000.gif,empty drink bottle,NA,NA,ambiguous because drinking motion is happening but I don't think there's any liquid,1144
20160822_070630_000.gif,empty drink bottle,NA,NA,NA,1144
20160822_070615_000.gif,empty drink bottle,NA,NA,NA,1144
20160822_070600_000.gif,empty drink bottle,NA,NA,NA,1144
172629.gif,"toy car, teddy bear",NA,NA,NA,1566
172659.gif,"toy car, teddy bear",NA,NA,NA,1566
172800.gif,"toy car, teddy bear, stuffed animal unicorn",NA,NA,NA,1566
