sub_num,Image,Object,exclusion,exact.image
5028,085418.gif,NA,None,5028/085418.gif
5028,103254.gif,NA,None,5028/103254.gif
1902,062254.gif,NA,None,1902/062254.gif
1902,093552.gif,NA,None,1902/093552.gif
6792,072348.gif,NA,None,6792/072348.gif
6792,072406.gif,NA,None,6792/072406.gif
6792,093905.gif,NA,None,6792/093905.gif
6792,093936.gif,NA,None,6792/093936.gif
6792,094214.gif,NA,None,6792/094214.gif
6792,101315.gif,NA,None,6792/101315.gif
6792,112541.gif,NA,None,6792/112541.gif
6792,112556.gif,NA,None,6792/112556.gif
6792,115415.gif,NA,None,6792/115415.gif
5348,073820.gif,NA,None,5348/073820.gif
5348,073836.gif,NA,None,5348/073836.gif
5348,083619.gif,NA,None,5348/083619.gif
7528,132943.gif,NA,None,7528/132943.gif
7528,142846.gif,NA,None,7528/142846.gif
2195,070447.gif,NA,None,2195/070447.gif
2195,084030.gif,NA,None,2195/084030.gif
2195,120154.gif,NA,None,2195/120154.gif
2195,120737.gif,NA,None,2195/120737.gif
2195,130012.gif,NA,None,2195/130012.gif
2195,130027.gif,NA,None,2195/130027.gif
9706,140024.gif,NA,None,9706/140024.gif
9706,142113.gif,NA,None,9706/142113.gif
8779,080821.gif,NA,None,8779/080821.gif
8779,090452.gif,NA,None,8779/090452.gif
8779,103836.gif,NA,None,8779/103836.gif
8779,103908.gif,NA,None,8779/103908.gif
2789,120158.gif,NA,None,2789/120158.gif
4859,080328.gif,NA,None,4859/080328.gif
4859,142606.gif,NA,None,4859/142606.gif
3856,115417.gif,NA,None,3856/115417.gif
3856,135344.gif,NA,None,3856/135344.gif
2819,084327.gif,NA,None,2819/084327.gif
9837,074031.gif,NA,None,9837/074031.gif
9837,142312.gif,NA,None,9837/142312.gif
3124,083028.gif,NA,None,3124/083028.gif
3124,105803.gif,NA,None,3124/105803.gif
3124,140316.gif,NA,None,3124/140316.gif
2677,20160831_105201_000.gif,NA,None,2677/20160831_105201_000.gif
2677,20160831_105216_000.gif,NA,None,2677/20160831_105216_000.gif
2677,20160831_105335_000.gif,NA,None,2677/20160831_105335_000.gif
2677,20160831_105408_000.gif,NA,None,2677/20160831_105408_000.gif
5064,20160831_143908_000.gif,NA,None,5064/20160831_143908_000.gif
5064,20160831_143923_000.gif,NA,None,5064/20160831_143923_000.gif
5064,20160831_143938_000.gif,NA,None,5064/20160831_143938_000.gif
5064,20160831_144009_000.gif,NA,None,5064/20160831_144009_000.gif
1509,130346.gif,NA,None,1509/130346.gif
1509,142818.gif,NA,None,1509/142818.gif
1509,152647.gif,NA,None,1509/152647.gif
2399,180929.gif,NA,None,2399/180929.gif
2399,185323.gif,NA,None,2399/185323.gif
2399,200046.gif,NA,None,2399/200046.gif
2399,230037.gif,NA,None,2399/230037.gif
7959,142911.gif,NA,None,7959/142911.gif
7959,155830.gif,NA,None,7959/155830.gif
7959,160105.gif,NA,None,7959/160105.gif
