Image,Object,Comments,Coder,Exclude,None,Unsure,Category,sub_num
20160811_130226_000.gif,soap bar,NA,MC,0,0,0,NA,7101
20160811_130709_000.gif,banana,NA,MC,0,0,0,NA,7101
20160811_130719_000.gif,banana,NA,MC,0,0,0,NA,7101
20160811_065031_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_065808_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_070143_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_070536_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_070548_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_070807_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_070830_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_070850_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_070911_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_075258_000.gif,fruit (unknown variety),NA,KC,0,0,0,NA,4964
20160811_075318_000.gif,fruit (unknown variety),NA,KC,0,0,0,NA,4964
20160811_075329_000.gif,fruit (unknown variety),NA,KC,0,0,0,NA,4964
20160811_075924_000.gif,fruit (unknown variety),NA,KC,0,0,0,NA,4964
20160811_075946_000.gif,fruit (unknown variety),NA,KC,0,0,0,NA,4964
20160811_080130_000.gif,fruit (unknown variety),NA,KC,0,0,0,NA,4964
20160811_080440_000.gif,fruit (unknown variety),NA,KC,0,0,0,NA,4964
20160811_080802_000.gif,stick,NA,MC,0,0,0,NA,4964
20160811_080812_000.gif,stick,NA,MC,0,0,0,NA,4964
20160811_081907_000.gif,broom,NA,MC,0,0,0,NA,4964
20160811_093107_000.gif,rock,NA,KC,0,0,0,NA,4964
20160811_104616_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_105604_000.gif,wind up toy,NA,KC,0,0,0,NA,4964
20160811_110132_000.gif,NA,NA,KC,1,0,0,NA,4964
20160811_075810_000.gif,NA,NA,MC,0,0,1,Natural,2802
20160811_075820_000.gif,NA,NA,MC,0,0,1,Natural,2802
20160811_080949_000.gif,NA,NA,MC,0,0,1,Natural,2802
20160811_082357_000.gif,spoon,NA,MC,0,0,0,NA,2802
20160811_082824_000.gif,NA,NA,MC,0,0,1,Food,2802
20160811_091616_000.gif,NA,NA,MC,0,0,1,Natural,2802
20160811_091907_000.gif,seed,NA,MC,0,0,0,Food,2802
20160811_110026_000.gif,shell,NA,MC,0,0,0,NA,2802
20160811_113948_000.gif,NA,NA,KC,0,0,1,Natural,2802
20160811_114525_000.gif,rock,NA,KC,0,0,0,NA,2802
20160811_114535_000.gif,NA,NA,MC,0,0,1,Food,2802
20160811_114608_000.gif,rock,NA,KC,0,0,0,NA,2802
070517.gif,candy,NA,KC,0,0,0,NA,5629
071033.gif,NA,NA,MC,0,0,1,NA,5629
081620.gif,NA,NA,MC,0,0,1,NA,5629
082628.gif,NA,NA,MC,0,0,1,Food,5629
083151.gif,stairs,NA,MC,0,0,0,NA,5629
083201.gif,stairs,NA,MC,0,0,0,NA,5629
083212.gif,stairs,NA,MC,0,0,0,NA,5629
083456.gif,stairs,NA,MC,0,0,0,NA,5629
083508.gif,stairs,NA,MC,0,0,0,NA,5629
083656.gif,spoon,NA,KC,0,0,0,NA,5629
085100.gif,band,NA,MC,0,0,0,NA,5629
090133.gif,betelnut,NA,KC,0,0,0,NA,5629
090215.gif,betelnut,NA,KC,0,0,0,NA,5629
091034.gif,betelnut,NA,KC,0,0,0,NA,5629
091044.gif,betelnut,NA,KC,0,0,0,NA,5629
091054.gif,betelnut,NA,KC,0,0,0,NA,5629
091350.gif,NA,NA,MC,0,0,1,NA,5629
091558.gif,stairs,NA,MC,0,0,0,NA,5629
091744.gif,vest,NA,KC,0,0,0,NA,5629
093344.gif,NA,NA,MC,0,0,1,NA,5629
102441.gif,banana,NA,MC,0,0,0,NA,5629
102454.gif,banana,NA,MC,0,0,0,NA,5629
102504.gif,banana,NA,MC,0,0,0,NA,5629
102514.gif,banana,NA,MC,0,0,0,NA,5629
102526.gif,banana,NA,MC,0,0,0,NA,5629
102536.gif,banana,NA,MC,0,0,0,NA,5629
102608.gif,banana,NA,MC,0,0,0,NA,5629
075751.gif,NA,NA,KC,1,0,0,NA,5942
075801.gif,NA,NA,KC,1,0,0,NA,5942
081232.gif,bottle cap,NA,MC,0,0,0,NA,5942
083506.gif,NA,NA,KC,1,0,0,NA,5942
083633.gif,blanket,sleeping baby in blanket,MC,0,0,0,NA,5942
084355.gif,paintbrush,NA,MC,0,0,0,NA,5942
084427.gif,paintbrush,NA,MC,0,0,0,NA,5942
084543.gif,paintbrush,NA,MC,0,0,0,NA,5942
084553.gif,paintbrush,NA,MC,0,0,0,NA,5942
