Image,Object,Comments,StudyRelated,Food,Clothing,Toy,Book,Electronic,Plant,Animal,ToolWork,ToolMealtime,OtherLargeImmovable,OtherSynthetic,OtherNatural,None,Exclude,Unsure,Flagged,Skipped,sub_num
20160811_074154_000.gif,red flower,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_074204_000.gif,red flower,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_074214_000.gif,red flower,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_121947_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_121957_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122008_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122018_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122028_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122041_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122051_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122101_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122113_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122123_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122133_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122144_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122155_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122205_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122216_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122226_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122236_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122247_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122257_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122307_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122319_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122329_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122339_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122351_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122401_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122411_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122422_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122432_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122442_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122454_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122504_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122514_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122525_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122535_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122545_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122557_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122607_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122617_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122629_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122639_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122649_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122701_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122732_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122742_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122752_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122805_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122815_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122825_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122836_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122919_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_122929_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123010_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123021_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123031_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123042_000.gif,"bottle of milk, red bottle",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123054_000.gif,"bottle of milk, red bottle",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123200_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123210_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123220_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123252_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123357_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123410_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123442_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123452_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123502_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123514_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123524_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123534_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123546_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123556_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123607_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123618_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123628_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123638_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123650_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123700_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123710_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123722_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123742_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123755_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123805_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123815_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123827_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123847_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123900_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123910_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123920_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_123932_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_124202_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_124245_000.gif,bottle of milk,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7101
20160811_130216_000.gif,black fabric,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130226_000.gif,black fabric,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130236_000.gif,purple comb,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130309_000.gif,purple comb,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130341_000.gif,purple comb,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130353_000.gif,purple comb,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130414_000.gif,purple comb,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130436_000.gif,purple comb,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130446_000.gif,"pruple comb, black fabric",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130458_000.gif,purple comb,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130508_000.gif,purple comb,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
20160811_130518_000.gif,black fabric,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7101
