site,sub_num,n.images,category.agreement,object.agreement
Rossel,1144,156,0.9166666666666666,0.6730769230769231
Rossel,2802,130,1,1
Rossel,2819,40,0.95,0.9
Rossel,3041,311,0.9742765273311897,0.954983922829582
Rossel,4859,199,0.949748743718593,0.7889447236180904
Rossel,5064,88,1,1
Rossel,5149,137,1,1
Rossel,5217,499,1,1
Rossel,5348,503,0.8966202783300199,0.7892644135188867
Rossel,5942,212,1,1
Rossel,7101,132,0.4090909090909091,0.4015151515151515
Rossel,7333,136,1,1
Rossel,7849,296,0.8513513513513513,0.706081081081081
Rossel,9091,86,1,1
Rossel,9706,312,0.8333333333333334,0.7051282051282052
Tseltal,1076,194,0.8556701030927835,0.7474226804123711
Tseltal,1129,284,1,1
Tseltal,1312,212,0.8018867924528302,0.75
Tseltal,1494,16,0.6875,0.5
Tseltal,1566,500,0.894,0.702
Tseltal,1598,268,1,1
Tseltal,2399,556,0.8669064748201439,0.6276978417266187
Tseltal,4197,129,1,1
Tseltal,5437,235,1,1
Tseltal,5978,364,1,1
Tseltal,6526,191,1,1
Tseltal,6852,373,0.7774798927613941,0.6729222520107239
Tseltal,7302,172,1,1
Tseltal,7328,415,0.8867469879518072,0.6144578313253012
Tseltal,7356,6,0.5,0.5
Tseltal,7674,548,1,1
Tseltal,7910,61,1,1
Tseltal,8532,257,0.953307392996109,0.89883268482490275
Tseltal,8535,270,1,1
