site,sub_num,age,sex,image,category,object,duration
Rossel,7101,5,M,20160811_074154_000.gif,Plant,hibiscus,10
Rossel,7101,5,M,20160811_074204_000.gif,Plant,hibiscus,10
Rossel,7101,5,M,20160811_074214_000.gif,Plant,hibiscus,13
Rossel,7101,5,M,20160811_121947_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_121947_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_121947_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_121947_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_121957_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_121957_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_121957_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_121957_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_122008_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122008_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122008_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122008_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122018_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122018_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122018_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122018_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122028_000.gif,Food,sippy cup,13
Rossel,7101,5,M,20160811_122028_000.gif,Food,milk,13
Rossel,7101,5,M,20160811_122028_000.gif,ToolMealtime,sippy cup,13
Rossel,7101,5,M,20160811_122028_000.gif,ToolMealtime,milk,13
Rossel,7101,5,M,20160811_122041_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122041_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122041_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122041_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122051_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122051_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122051_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122051_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122101_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_122101_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_122101_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_122101_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_122113_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122113_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122113_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122113_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122123_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122123_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122123_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122123_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122133_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_122133_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_122133_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_122133_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_122144_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_122144_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_122144_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_122144_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_122155_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122155_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122155_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122155_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122205_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_122205_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_122205_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_122205_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_122216_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122216_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122216_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122216_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122226_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122226_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122226_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122226_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122236_000.gif,Food,sippy cup,11
Rossel,7101,5,M,20160811_122236_000.gif,Food,milk,11
Rossel,7101,5,M,20160811_122236_000.gif,ToolMealtime,sippy cup,11
Rossel,7101,5,M,20160811_122236_000.gif,ToolMealtime,milk,11
Rossel,7101,5,M,20160811_122247_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122247_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122247_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122247_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122257_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122257_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122257_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122257_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122307_000.gif,Food,sippy cup,12
Rossel,7101,5,M,20160811_122307_000.gif,Food,milk,12
Rossel,7101,5,M,20160811_122307_000.gif,ToolMealtime,sippy cup,12
Rossel,7101,5,M,20160811_122307_000.gif,ToolMealtime,milk,12
Rossel,7101,5,M,20160811_122319_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122319_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122319_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122319_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122329_000.gif,Food,sippy cup,10
Rossel,7101,5,M,20160811_122329_000.gif,Food,milk,10
Rossel,7101,5,M,20160811_122329_000.gif,ToolMealtime,sippy cup,10
Rossel,7101,5,M,20160811_122329_000.gif,ToolMealtime,milk,10
Rossel,7101,5,M,20160811_122339_000.gif,Food,sippy cup,12
